title,genre,rating,voting,duration,storyline
Eden,thriller,6.4,2.9K,2h,Follows a group of people fueled by a profound desire for change; in order to turn their back to society they leave everything behind and set their futures on the harsh landscape of the Galapagos.
Ei koskaan yksin,war,7.1,466,1h 25m,"1942 in Helsinki. The state of Finland has made an alliance with Nazi Germany. One man alone is trying to stop the Finnish security services which were operating in secrecy, to turn over Jewish refugees into the hands of Gestapo."
El 47,biography,7.2,3.7K,1h 50m,"Inspired on the true story of Manolo Vital, a bus driver who helped create the modern Barcelona during the 1970s city's boom."
El Hareefa,sport,6.8,1.2K,1h 57m,"Circumstances force Majed to leave his High end life, move from his private school to a public school. Over time,he gains the respect of his classmates because of his football skills"
El Hareefa 2: El Remontada,sport,6.3,547,2h 10m,"Majed, along with his friends and teammates, continues to face more challenges and exciting adventures by playing football, while their personal lives are also witnessing more developments and various changes"
El Vaquero,western,8.4,13,1h 33m,The arrival of a stray horse triggers a series of events in Bernicia's life that alters her world as she slowly takes on the persona of a cowboy.
Elevation,"action, sci-fi",5.6,24K,1h 31m,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.
Elton John: Never Too Late,"music, documentary",6.5,2K,1h 42m,"It showcases never-before-seen concert footage of him over the past 50 years, as well as hand-written journals and present-day footage of him and his family."
Emilia Pérez,"crime, thriller, musical, drama",5.4,91K,2h 12m,"It follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self."
Emmanuelle,romance,4.1,1.9K,1h 47m,"In search of a lost pleasure, Emmanuelle travels alone to Hong Kong on a business mission. In the vibrant and sensual global city, she indulges in intense encounters and new experiences."
Endurance,documentary,7.5,1.8K,1h 43m,"Maritime Heritage Trust locates Shackleton's shipwrecked Endurance near Antarctica in 1915. Shackleton and 27 crew survive incredible journey to South Georgia to seek rescue after ship sinks, showcasing human resilience against all odds."
Eno,music,8.0,318,1h 25m,"A generative documentary about artist Brian Eno, with 52 quintillion possible iterations, so that no viewing is the same twice."
Escanyapobres,western,6.3,92,1h 42m,"The arrival of the train to an isolated town brings progress, but also to the obscure usurer Oleguer with shady businesses. When she expropriates the farmhouse of Cileta, the young peasant woman will do her best to recover her house."
Escape from Germany,war,5.4,1.1K,1h 37m,"1939, Hitler's army was closing borders, and eighty-five American missionaries were in Germany serving their church. The escape of these missionaries from Nazi Germany is one of the most dramatic events to occur in modern church history."
Escape from the 21st Century,"sci-fi, adventure",6.4,1K,1h 38m,"Three friends discover they have the power to travel back and forth 20 years with a sneeze. However, the future is not as good as they hoped, and they need to take on the responsibility of saving the world."
Every Christopher Nolan Movie Ranked,news,8.7,18,,Schaff goes down the rabbit hole of Christopher Nolan's filmography and discovers a dark secret
Everybody Loves Touda,musical,6.4,506,1h 42m,"Touda is a Sheikha, a traditional Moroccan singer. Performing in the bars of her provincial town under the gaze of men, she plans to leave for the lights of Casablanca, to gain recognition and ensure a better future for her son."
Exhuma,"horror, mystery",6.9,25K,2h 14m,The process of excavating an ominous grave unleashes dreadful consequences buried underneath.
Eye for an Eye 2,western,6.6,558,1h 30m,"A blind swordsman reluctantly mentors an orphan seeking vengeance for his destroyed family, teaching him martial arts skills. The orphan waits for an opportunity to avenge his kin."
F*** Marry Kill,"romance, mystery, comedy, thriller",5.3,3.3K,1h 37m,"As a serial killer targets women on dating apps, a true-crime junkie must figure out which of her three dates is a f-boy, marriage material, or is trying to kill her."
Family Pack,"fantasy, adventure",5.5,9.7K,1h 34m,"When night falls, and the players have their eyes closed, werewolves make victims among the villagers."
Federer: Twelve Final Days,sport,7.3,4.2K,1h 28m,Follows the last 12 days of the career of a tennis player considered the best ever as he plays his final tournament.
Fight Like a Girl,sport,8.8,30,1h 58m,"A young Congolese woman forced to work in an illegal mineral mine, escapes her captors and finds a new life for herself as a professional boxer. Based on true events."
Fight or Flight,"action, comedy",6.4,15K,1h 42m,A mercenary takes on the job of tracking down a target on a plane but must protect her when they're surrounded by people trying to kill both of them.
Find Me Falling,music,6.3,13K,1h 33m,"After a failed comeback album, rock star John Allman escapes to a dreamy Mediterranean island, only to discover that his new cliffside home has an unfortunate notoriety that attracts unwanted visitors and an old flame."
First Nights at Freddy's,musical,9.4,19,1h 38m,"Before the events of the original FNaF Musical, several stories come together to uncover Fazbear Entertainment's web of lies."
Flow,"fantasy, family, adventure, animation",7.9,86K,1h 25m,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences."
Fly Me to the Moon,"romance, comedy",6.6,52K,2h 12m,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins."
Force of Nature: The Dry 2,mystery,5.8,7.6K,2h,Five women participate in a hiking retreat but only four come out the other side. Federal agents Aaron Falk and Carmen Cooper head into the mountains hoping to find their informant still alive.
Fox & Hare Save the Forest,musical,5.9,224,1h 11m,"It centers on the adventures of Fox and Hare, best friends who are surrounded by a bunch who have become like family. One day, they find out that Owl has gone missing, and they embark on a journey to find him."
Freaky Tales,"comedy, action, crime, adventure, drama",6.2,7.7K,1h 47m,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe."
Frewaka,horror,6.1,1.5K,1h 43m,"Follow a student of nursing palliative care, who is plagued by a trauma from her past that has a disorienting effect on her present, her relationship, her career and her ability to function."
Friendship,comedy,7.0,14K,1h 40m,A suburban dad falls hard for his charismatic new neighbor.
"From Hilde, with Love","history, biography",6.9,1.2K,2h 5m,"In Berlin 1942, Hilde is a member of an anti-Nazi group. She falls in love with another member, Hans. The two spend a summer together until they get caught by the Gestapo and Hilde is imprisoned, eight months pregnant."
Furiosa: A Mad Max Saga,"action, sci-fi, adventure",7.5,293K,2h 28m,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home."
Fyre Rises,western,6.1,327,1h 50m,"Debt-ridden pacifist Richard Fyre is propositioned to return to his abandoned mercenary ways by flamboyant zealot, Priest, to eliminate his international competition in exchange for a clean slate."
Gaga Chromatica Ball,"music, musical",8.1,2.1K,1h 57m,"In front of 52,000 people, Lady Gaga delivers a career-defining performance at Dodger Stadium in Los Angeles during her 2022 Chromatica Ball Tour."
Get Away,horror,5.3,7.7K,1h 26m,A family's vacation to a remote getaway takes an unexpected turn when they discover the island they're on is inhabited by a serial killer.
Ghostbusters: Frozen Empire,"fantasy, sci-fi, comedy, adventure",6.1,96K,1h 55m,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
Ghosts of Red Ridge,western,3.2,182,1h 21m,"In the gold bust town of Red Ridge, a haunted Sheriff and his Deputy wrestle with outlaws causing chaos amid the town's decline."
Giannis: The Marvelous Journey,sport,8.3,1.8K,1h 49m,"The story of Giannis Antetokounmpo, global NBA superstar, from the streets of Athens to becoming an NBA champion and two-time league MVP."
Girl from the North Country,musical,7.4,59,,"Nick Laine's wife is suffering from dementia. Their daughter Marianne has a guarded secret that no one can explain, she will start a relationship with a convict that will change everything for everyone forever in a timeless love story."
Given the Movie: Hiiragi Mix,music,7.6,240,1h 10m,Hiiragi Mix takes place after the events of the Eiga Given and is mainly focused on the relationship between Mafuyu's childhood friends Hiiragi Kashima and Shizusumi Yagi.
Gladiator II,"action, adventure, drama",6.5,257K,2h 28m,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people."
Godzilla x Kong: The New Empire,"sci-fi, fantasy, thriller, action, adventure",6.0,125K,1h 55m,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
Goebbels and the Führer,"history, war",6.7,2.7K,2h 15m,Nazi propaganda minister Joseph Goebbels is in charge of building public support for the Holocaust and for the war that Hitler is about to start.
Golden Kamuy,"history, western",6.3,2.7K,2h 7m,"In the early 20th century in Hokkaido, Japan, a treasure hunt between various parties takes place for a hidden stash of gold."
Grace by Night,sport,6.6,42,2h 16m,A man takes a job as a crisis hotline responder as a means of coping with a family tragedy.
Grand Tour,history,6.5,2.2K,2h 9m,"Edward, civil servant, flees fiancée Molly on their wedding day in Rangoon, 1917. His travels replace panic with melancholy. Molly, set on marriage, amused by his escape, trails him across Asia."
Greedy People,crime,6.2,13K,1h 52m,Follows the residents of a small island town who must navigate a sensational murder and the discovery of a million dollars; a series of increasingly bad decisions upend the once peaceful community.
Gundi: Legend of Love,sport,8.9,5.7K,2h 46m,"Explore Georgi Asparuhov's rise from Sofia's outskirts to a football legend and his profound love for his wife Lita, set against 1960s Bulgaria's turmoil."
Guns & Moses,crime,7.8,105,1h 34m,A beloved small town rabbi in the high desert becomes an unlikely gunslinger after his community is violently attacked.
Haikyu!! The Dumpster Battle,"sport, animation",7.7,6.6K,1h 25m,"Despite a strong field, the Karasuno High volleyball team advances past the preliminary round of the Harutaka tournament in Miyagi prefecture to reach the third round."
Harbin,"history, biography",6.2,1K,1h 48m,Follows Korean independence activists who launched a daring attack in Harbin against the Japanese to gain their country's independence.
Harold and the Purple Crayon,"fantasy, family, animation",5.7,8.9K,1h 30m,"Inside of his book, adventurous Harold can make anything come to life simply by drawing it. After he grows up and draws himself off the book's pages and into the physical world, Harold finds he has a lot to learn about real life."
Harsh Treatment,western,8.3,16,,"When a pair of failed outlaws botch a big score, they settle for a smaller one instead - putting them in the crosshairs of a dangerous tracker who'll do anything to recover the priceless treasure they don't realize they've stolen."
Harvest,history,6.2,500,2h 11m,"Over seven hallucinatory days, a village with no name, in an undefined time and place, disappears."
Hayatla Baris,sport,6.3,409,2h 5m,Biography of Baris Telli about his accident at a young age to being a professional in many sports.
Heart Strings,musical,5.5,13,1h 47m,"Willing to do anything for money and fame, Lucky and Billie fake their love and eventually become a real couple, willing to sacrifice their dreams of success for real love and real life music."
Hellboy: The Crooked Man,mystery,4.5,15K,1h 39m,"Hellboy and a rookie B.P.R.D. agent in the 1950s are sent to the Appalachians, where they discover a remote community dominated by witches and led by the sinister local demon, the Crooked Man."
Here,drama,6.3,23K,1h 44m,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life."
Heretic,"horror, thriller",7.0,166K,1h 51m,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.
High Tide,romance,6.4,781,1h 41m,"Heartbroken and adrift, undocumented Brazilian immigrant Lourenço searches for purpose in the queer mecca of Provincetown. As the summer season comes to a fade, he sparks an intense and unexpected romance with Maurice. Together, the two reconcile the pasts they've left behind and their uncertain futures."
Hitler,war,5.2,317,2h 8m,A hero with a genuine background involved with the political murders. What is the reason behind this that's the Story.
Hitpig,"family, animation",5.1,1.1K,1h 26m,A bounty hunter pig finds himself trekking the globe with a free-spirited elephant he intended to capture.
Homestead,action,5.2,4.3K,1h 52m,"Amid chaos, ex-Green Beret joins prepper compound; love grows, truths arise, and a community unites."
Horizon: An American Saga - Chapter 1,"western, drama",6.6,42K,3h 1m,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Horizon: An American Saga - Chapter 2,western,7.1,1.4K,3h 10m,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.
How Could I Live Without You?,musical,6.9,1.1K,1h 45m,"Lili reads her mother Eszter's diary and love letters, revealing Eszter's summer romance with Geri, a musician, at Lake Balaton in the 1990s, defying her commitment to her boyfriend, impacting their lives and Lili's."
How to Make Millions Before Grandma Dies,family,7.9,17K,2h 5m,"A man, driven by his desire for a multi-million dollar inheritance, begins to care for his terminally ill grandmother. However, winning her favor will not be an easy task and he is not the only one with an eye on the money."
How to Rob a Bank,documentary,6.6,4.3K,1h 28m,"In this true-crime documentary, a charismatic rebel in 1990s Seattle pulls off an unprecedented string of bank robberies straight out of the movies."
I Am What I Am 2,animation,7.5,398,2h 14m,"A Juan, an unknown person who came to Shanghai to work, agreed to participate in the ""Shanghai Fight Night"" martial arts competition on behalf of the declining Chuanwu Boxing Gym in order to make money to treat his father's illness."
I Don't Understand You,horror,5.5,837,1h 37m,"Stranded in rural Italy without transportation or language skills, an American couple on the verge of adopting tries to reconnect during a disastrous vacation, as their fears and relationship problems threaten to boil over."
I Saw the TV Glow,mystery,5.8,39K,1h 40m,A teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late-night TV show.
I'm Still Here,"history, biography, drama",8.2,114K,2h 17m,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
I'm Your Venus,"biography, documentary",7.1,431,1h 25m,"A moving and timely documentary following the unsolved murder of Venus Xtravaganza, star of the legendary film Paris Is Burning, as Venus' two families - biological and ballroom - come together to seek answers and celebrate her legacy."
IF,"comedy, animation, fantasy, family, drama",6.4,60K,1h 44m,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Immaculate,horror,5.8,55K,1h 29m,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets."
In the Fire of War,war,7.1,212,1h 55m,"Set in New Zealand in 1864, follows the story of a crucial conflict of the nation's first land warfare, fought between Maori and colonial soldiers against insurmountable odds."
Indian 2,musical,3.8,17K,,"Senapathy, an ex-freedom fighter turned vigilante who fights against corruption. Senapathy returns to the country to aid a young man who has been exposing corrupt politicians in the country through videos on the internet."
Inquietus,reality-tv,7.0,7,,"Hannah travels to Italy to film a video for a vlogger competition. However, strange occurrences begin during her first days there, leading her to confront inexplicable events and encounter a world she never knew existed."
Inside,crime,6.8,347,1h 44m,"Transferred from juvenile to adult prison, Mel is taken under the wing of both Shepard, Australia's most despised criminal, and Warren, a soon-to-be-paroled inmate. The paternal triangle that forms between them becomes their undoing."
Inside Out 2,"comedy, animation, fantasy, family, adventure, drama",7.5,224K,1h 36m,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
Inside the Mind of a Dog,documentary,7.2,2.4K,1h 15m,Embark on a delightful journey into the world of dogs in this documentary that reveals scientific and emotional insights about our lovable BFFs.
Intoxicated by Love,history,8.5,14K,1h 58m,"Story of Rumi, his friendship with Shams Tabrizi, the love he had for him and the great influence of Shams over him in his life, his poetry and his love for God."
Invasion,war,4.8,755,1h 31m,"When neighboring country Veragua suddenly attacks Curaçao and Aruba, the Dutch government is taken completely by surprise. The conflict escalates rapidly. Three young Dutch Corps recruits must figure out what is the right thing to do."
Invention,biography,6.1,91,1h 12m,"In the aftermath of a conspiracy-minded father's sudden death, his daughter inherits his patent for an experimental healing device."
Isang himala,musical,6.8,53,2h 25m,"Elsa, a simple woman from a rural barrio, becomes a beacon of hope and controversy when, after hearing a divine calling during an eclipse, she is believed to have the power to heal, transforming her village into a pilgrimage site and challenging the faith, relationships, and beliefs of everyone around her."
It Ends with Us,"romance, drama",6.3,89K,2h 10m,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended and she realizes she must learn to rely on her own strength to make an impossible choice for her future."
It's What's Inside,"mystery, sci-fi, comedy",6.6,44K,1h 43m,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges."
Jackpot!,action,5.8,31K,1h 46m,"In the near future, a 'Grand Lottery' has been newly established in California - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot."
Jailbreak: Love on the Run,documentary,6.4,3.5K,1h 28m,"When Vicky White, a highly respected corrections officer, aids the escape of a violent felon nearly twenty years her junior, it reveals an unexpected love story amidst the ensuing high-profile manhunt and media frenzy."
Jane Austen Wrecked My Life,romance,6.4,888,1h 38m,"A desperately single bookseller, lost in a fantasy world, finds herself forced to fulfill her dreams of becoming a writer in order to stop messing up her love life."
Janis Ian: Breaking Silence,music,7.8,145,1h 54m,"Janis Ian (""At Seventeen,"" ""Society's Child,"" ""Stars"") tells her remarkable life story-with Joan Baez, Arlo Guthrie, Jean Smart, and others."
Jim Henson: Idea Man,"biography, documentary",7.7,4K,1h 51m,"This documentary features interviews of fans of Jim Henson's work, interspersed with footage from his works, including Wilkins and Wontkins Commercials, that were previously lost."
Joe Crist,western,4.7,490,,A former bounty hunter awakens from a six-week coma to find he has been 'touched' for a higher calling.
Johatsu: Into Thin Air,documentary,6.5,200,1h 26m,"Disillusioned individuals in Japan vanish to start anew, aided by firms providing new identities. It delves into the turmoil of those who disappear and the loved ones grappling with their absence, exploring reconciliation attempts."
Joker: Folie à Deux,"thriller, musical, drama",5.2,166K,2h 18m,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital."
Joy,"history, biography",7.1,10K,1h 55m,"3 trailblazers: a young nurse, a visionary scientist and an innovative surgeon face opposition from the church, state, media, and medical establishment in their pursuit of the world's first 'test tube baby,' Louise Joy Brown."
Juror #2,"crime, mystery, thriller, drama",7.0,106K,1h 54m,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer."
Justice League: Crisis on Infinite Earths - Part One,"fantasy, animation",6.2,8.9K,1h 33m,"The Anti-Monitor, the Monitor's evil counterpart, is released into the DC Multiverse and begins to destroy the different Earths that compose it. The Monitor attempts to recruit heroes from across the Multiverse to fight back."
Justice League: Crisis on Infinite Earths - Part Three,animation,6.0,4.8K,1h 34m,"Trapped in a pocket universe, surviving Earths face annihilation by the Anti-Monitor. Time shatters, bringing past heroes to aid Justice League against the epitome of evil. Their sacrifice may lead to victory."
Justice League: Crisis on Infinite Earths - Part Two,animation,5.5,5.6K,1h 34m,The Anti-Monitor (the Monitor's evil counterpart) is released into the DC Multiverse and begins to destroy the different Earths that compose it. The Monitor attempts to recruit heroes from across the Multiverse to fight back.
K3 en Het Lied van de Zeemeermin,music,6.0,72,1h 44m,"Three girls' beach vacation turns chaotic when magic transforms them into mermaids. With locals viewing mermaids as monsters, they must avoid water and break the spell within three days or remain mermaids forever."
Kajolrekha,musical,6.3,197,2h 36m,"Based on a famous Bangladeshi ballad-opera, where portraits the backstory of a lady conqueror."
Kalki 2898 AD,"fantasy, sci-fi, adventure",7.0,69K,3h,The future of those in the dystopian city of Kasi is altered when the destined arrival of Lord Vishnu's final avatar launches a war against darkness.
Kang Mak,war,6.4,901,2h 2m,"A man named Makmur returned from the battlefield. However, Makmur finds Sari, his wife, has died and become a ghost."
Karma,mystery,7.8,1.5K,2h 47m,"Stranded in a remote graveyard, special investigation officer Amar Patnaik uncovers chilling secrets, only to realise he's caught in a gripping tale of Karma and Fate"
Kill the Jockey,"crime, sport",6.4,1.9K,1h 36m,"Remo's self-destructive behavior overshadows his talent. Abril, an upcoming jockey is pregnant by Remo and has to decide between child or continuing to race. They both race for Sirena, a businessman who saved Remo's life in the past ."
Killer Heat,"crime, mystery",5.6,14K,1h 35m,"Follows twin brothers who find themselves in a dangerous love triangle on an isolated Greek island. The investigation is given to ""The Jealousy Man,"" a wounded detective."
Kinds of Kindness,"horror, comedy, drama",6.5,62K,2h 44m,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide."
Kingdom of the Planet of the Apes,"action, sci-fi, thriller, adventure",6.8,155K,2h 25m,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike."
Kishkindha Kaandam,mystery,8.0,13K,2h 13m,"Strange events unfold in a monkey-inhabited village, prompting a newlywed pair and forest officials to embark on a mission to uncover the root cause of the peculiar disturbances."
"Kiss Me, Kate: The Musical",musical,7.5,92,2h 41m,"'Kiss Me, Kate' is a blend of musical theater, comedy, and drama, set around a theatrical production of Shakespeare's 'Taming of the Shrew'. It cleverly intertwines the backstage antics of a troubled Broadway show with the onstage drama."
Kneecap,"music, comedy",7.6,20K,1h 45m,"When fate brings Belfast teacher JJ into the orbit of self-confessed ""low life scum"" Naoise and Liam Óg, the needle drops on a hip hop act like no other. Rapping in their native Irish, they lead a movement to save their mother tongue."
Kraven the Hunter,"action, thriller, adventure",5.5,65K,2h 7m,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared."
Kung Fu Panda 4,"comedy, fantasy, action, family, adventure, animation",6.3,71K,1h 34m,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
La Casa,biography,6.9,1K,1h 23m,"After the death of their father Antonio, his three grown children and their families gather at his modest vacation home to prepare it for sale. During their short stay, long-buried memories and secrets rise to the surface."
Lady Outlaw,western,6.5,25,1h 44m,"In 1890s Oklahoma, a pair of fugitive lovers face a perilous journey home. With lawmen and bounty hunters hot on their heels, George and Rose must outwit their pursuers and navigate treacherous terrain to reach safety in Ingalls."
Lal Salaam,sport,4.5,1.5K,2h 30m,"A reckless townsman tries to mend his thug ways ends up resurrecting himself and proves to be worthy of the world, in the eyes of the same people who chased him away."
Land of Bad,"action, thriller",6.6,53K,1h 53m,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.
Las super estrellas de la lucha libre,sport,8.8,59,1h 38m,The film tells the story of the wrestling gold era of Puerto Rico. From the beginning to the End.
Last Flamingo of the Red Summer Sunset,western,8.8,14,1h 20m,"The frontier is closing, but the imagination of the west remains. Decades since the genocide of a local tribe, there is one final 'wild-man'. Benjamin wishes to rid the land of the indigenous peoples, tasking Henry with extermination."
Laws of Man,war,5.0,1.4K,1h 38m,"At the dawn of the Cold War, two U.S. marshals pursue a wanted murderer in the deserts of Nevada."
Le quatrième mur,war,6.3,148,1h 56m,"Georges, a politically committed stage director, has given up activism. But when Samuel, his best friend suffering from an incurable disease, urges him to pursue his crazy idea of staging Anouilh's Antigone to steal two hours of peace from the Lebanese war, Georges cannot refuse. In Beirut, George will rapidly discover the tense atmosphere and all the war conflicts between ethnic groups in the country. The play seems to be a glimmer of hope, even if the cloud of a raging war is upon them. How will the man who has only ever known revolt face the reality of the conflict? Will he be able to escape unscathed?"
Lesbian Space Princess,animation,7.0,194,1h 27m,A space princess is thrust out of her sheltered life and into a galactic quest to save her bounty hunter ex-girlfriend from the Straight White Maliens.
Lift,crime,5.5,50K,1h 47m,Follows a master thief and his Interpol Agent ex-girlfriend who team up to steal $500 million in gold bullion being transported on an A380 passenger flight.
Limonov: The Ballad of Eddie,history,5.9,1.1K,2h 18m,"The outrageous story of Eduard Limonov, the radical Soviet poet who became a bum in New York, a sensation in France, and a political antihero in Russia."
Lisa Frankenstein,romance,6.1,29K,1h 41m,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts."
Little Wing,sport,6.1,951,1h 40m,A 13-year-old girl is dragged into the world of pigeon racing as she deals with her parents' divorce and the impending loss of her home.
Liza: A Truly Terrific Absolutely True Story,"biography, documentary",7.6,490,1h 44m,"A tribute to a young artist of unlimited raw talent and the deep, creative relationships she has with her mentors and influences."
Lonely Planet,romance,5.7,12K,1h 34m,"At a retreat in Morocco, a woman meets a young man whose acquaintanceship evolves into an intoxicating, life-altering love affair."
Longlegs,"crime, horror, mystery, thriller",6.6,195K,1h 41m,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
Look Back,animation,7.8,16K,,"The overly confident Fujino and the shut-in Kyomoto couldn't be more different, but a love of drawing manga brings these two small-town girls together."
Love Across Time,romance,7.1,813,1h,A real estate inspector working in England at an old Georgian manor accidentally opens a portal to its 18th-century past and its dashing then-owner.
Love Lies Bleeding,"crime, romance, mystery",6.6,59K,1h 44m,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family."
Love Me,"romance, sci-fi",5.1,3K,1h 31m,A postapocalyptic romance in which a boy and a satellite meet online and fall in love after the end of human civilization.
"Love, Courage and the Battle of Bushy Run",war,5.0,196,1h 53m,"Colonel Henry Bouquet, with a ragtag group of British soldiers, Scottish Highlanders and American volunteers, was tasked with trying to save the hundreds of men, women and children facing certain death - or worse - in Fort Pitt."
Loveable,romance,7.7,2.7K,1h 41m,"Maria juggles with four children and a demanding career while her second husband, Sigmund, travels all the time. One day they get into an ugly argument which led Sigmund to eventually ask her for a divorce."
Lover Stalker Killer,documentary,7.0,14K,1h 30m,"In this twisting documentary, a mechanic tries online dating for the first time and meets a woman who takes romantic obsession to a deadly extreme."
Lubber Pandhu,sport,8.1,6.5K,2h 26m,"Set against the rural backdrop, explores gully cricket stars Gethu and Anbu's intense rivalry. Anbu's romantic involvement with Gethu's daughter escalates the clash. Their skills and emotions are put to the ultimate test."
Lucky Baskhar,crime,8.0,35K,2h 28m,A cash-strapped cashier working at a bank embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.
Luther: Never Too Much,music,8.1,915,1h 41m,"Chronicles the life of an iconic musical performer, from childhood musical talent to worldwide fame. Explores his collaborations, influences, character and relationships with family, friends and fans."
MaXXXine,"crime, horror",6.2,75K,1h 43m,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past."
MadS,horror,6.4,9K,1h 29m,"A teenager stops off to see his dealer to test a new drug before heading off for a night of partying. On the way home, he picks up an injured woman and the night takes a surreal turn."
Madame Web,action,4.1,104K,1h 56m,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present."
Maharaja,"action, crime",8.4,71K,2h 21m,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds."
Maidaan,"history, biography, sport",7.9,23K,3h 1m,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football."
Malaikottai Vaaliban,western,6.0,4.2K,2h 36m,"Journey of Malaikottai Vaaliban, an undisputed warrior, transcends time and geographies, triumphing over every opponent he encounters."
Maldoror,crime,6.8,1.1K,2h 35m,"Two girls vanish. Police recruit Paul Chartier joins a covert unit tracking a sex offender. After the operation falters, Chartier pursues the perpetrators independently, disillusioned with legal constraints."
Man and Witch: The Dance of a Thousand Steps,family,5.5,357,1h 34m,"A goatherd seeks help from a witch to break a curse that prevents him from taking a wife, so she sets upon him a series of impossible tasks."
Manjummel Boys,adventure,8.2,28K,2h 15m,"A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back."
Marco,crime,6.7,23K,2h 25m,"The adoptive son of the Adattu family, Marco, sets off on a ruthless quest for vengeance after his brother is brutally murdered, finding only betrayal, loss and unimaginable brutality at every step."
Maria,"music, biography, reality-tv",6.4,21K,2h 4m,"Maria Callas, the world's greatest opera singer, lives the last days of her life in 1970s Paris, as she confronts her identity."
Mars,animation,8.1,26,1h 24m,"A zany crew of misfits blasts off to Mars, only to find they've been duped by a scheming billionaire. Chaos ensues as they face bizarre challenges and unexpected surprises on their wacky interplanetary journey."
Martha,documentary,7.2,4.2K,1h 55m,"The film covers the breadth of her extraordinary life through intimate interviews with Stewart herself, who opened up her personal archives to share never-before-seen photos, letters, and diary entries."
